"","Estimate","Std. Error","t value"
"(Intercept)",7.187,0.42,17.111
"conditionBold",-0.535,0.139,-3.852
"launchC",0.534,0.06,8.837
"Len1C",0.026,0.059,0.429
"Len2C",0.096,0.06,1.605
"conditionBold:launchC",-0.115,0.084,-1.377
"conditionBold:Len1C",0.063,0.083,0.763
"launchC:Len1C",0.149,0.07,2.136
"conditionBold:Len2C",-0.072,0.083,-0.863
"launchC:Len2C",0.023,0.061,0.374
"Len1C:Len2C",0.047,0.067,0.704
"conditionBold:launchC:Len1C",-0.017,0.096,-0.177
"conditionBold:launchC:Len2C",0.094,0.087,1.085
"conditionBold:Len1C:Len2C",-0.007,0.094,-0.071
"launchC:Len1C:Len2C",0.121,0.075,1.62
"conditionBold:launchC:Len1C:Len2C",0.105,0.109,0.968
